,,,0
豆類,あずきゆで小豆缶詰,Calorie_cal,218
豆類,あずきあんこしあん,Calorie_cal,155
豆類,あずきあんさらしあん,Calorie_cal,385
豆類,あずきあんつぶしあん,Calorie_cal,244
豆類,いんげんまめ全粒乾,Calorie_cal,333
豆類,いんげんまめ全粒ゆで,Calorie_cal,143
豆類,いんげんまめうずら豆,Calorie_cal,237
豆類,いんげんまめこしあん,Calorie_cal,155
豆類,いんげんまめ豆きんとん,Calorie_cal,249
豆類,えんどう全粒青えんどう乾,Calorie_cal,352
豆類,えんどう全粒赤えんどう乾,Calorie_cal,352
豆類,えんどう全粒青えんどうゆで,Calorie_cal,148
豆類,えんどう全粒赤えんどうゆで,Calorie_cal,148
豆類,えんどうグリンピース（揚げ豆）,Calorie_cal,423
豆類,えんどう塩豆,Calorie_cal,364
豆類,えんどううぐいす豆,Calorie_cal,240
豆類,ささげ全粒乾,Calorie_cal,336
豆類,ささげ全粒ゆで,Calorie_cal,145
豆類,そらまめ全粒乾,Calorie_cal,348
豆類,そらまめフライビーンズ,Calorie_cal,472
豆類,そらまめおたふく豆,Calorie_cal,251
豆類,そらまめふき豆,Calorie_cal,263
豆類,そらまめしょうゆ豆,Calorie_cal,196
豆類,だいず［全粒・全粒製品］全粒国産黄大豆乾,Calorie_cal,422
豆類,だいず［全粒・全粒製品］全粒国産黒大豆乾,Calorie_cal,414
豆類,だいず［全粒・全粒製品］全粒国産黄大豆ゆで,Calorie_cal,176
豆類,だいず［全粒・全粒製品］全粒米国産黄大豆乾,Calorie_cal,433
豆類,だいず［全粒・全粒製品］全粒中国産黄大豆乾,Calorie_cal,422
豆類,だいず［全粒・全粒製品］全粒ブラジル産黄大豆乾,Calorie_cal,451
豆類,だいず［全粒・全粒製品］いり大豆黄大豆,Calorie_cal,439
豆類,だいず［全粒・全粒製品］いり大豆黒大豆,Calorie_cal,442
豆類,だいず［全粒・全粒製品］いり大豆青大豆,Calorie_cal,435
豆類,だいず［全粒・全粒製品］水煮缶詰黄大豆,Calorie_cal,140
豆類,だいず［全粒・全粒製品］蒸し大豆黄大豆,Calorie_cal,205
豆類,だいず［全粒・全粒製品］きな粉全粒大豆黄大豆,Calorie_cal,450
豆類,だいず［全粒・全粒製品］きな粉全粒大豆青大豆,Calorie_cal,431
豆類,だいず［全粒・全粒製品］きな粉脱皮大豆黄大豆,Calorie_cal,451
豆類,だいず［全粒・全粒製品］大豆はいが,Calorie_cal,442
豆類,だいず［全粒・全粒製品］ぶどう豆,Calorie_cal,289
豆類,だいず［豆腐・油揚げ類］木綿豆腐,Calorie_cal,72
